facility_id,hospital_overall_rating,better_flags_safety,worse_flags_safety,better_flags_mort,worse_flags_mort,readm_ratio_avg,patient_exp_score
010001,4.0,0.0,1.0,0.0,0.0,0.9783833333333333,87.875
010005,3.0,0.0,0.0,0.0,1.0,0.9180999999999999,85.625
010006,2.0,0.0,2.0,0.0,2.0,1.0002166666666668,82.0
010007,1.0,0.0,0.0,0.0,1.0,1.0399,86.25
010008,,0.0,0.0,0.0,0.0,1.0017,
010011,2.0,0.0,0.0,0.0,0.0,1.02746,84.875
010012,3.0,0.0,0.0,0.0,0.0,1.0173400000000001,85.0
010016,2.0,0.0,2.0,0.0,0.0,1.0396999999999998,83.5
010018,,0.0,0.0,0.0,0.0,,
010019,2.0,0.0,0.0,0.0,1.0,1.040325,88.0
010021,3.0,0.0,0.0,0.0,0.0,1.002,
010022,,0.0,0.0,0.0,0.0,0.9738,
010023,1.0,0.0,3.0,0.0,1.0,1.0332666666666668,86.25
010024,2.0,0.0,0.0,0.0,1.0,0.9888999999999999,84.5
010029,3.0,0.0,0.0,0.0,0.0,0.9726333333333333,87.5
010033,3.0,0.0,2.0,0.0,0.0,1.15155,86.75
010034,,0.0,0.0,0.0,0.0,,
010035,2.0,0.0,0.0,0.0,1.0,0.9941399999999998,85.75
010036,2.0,0.0,0.0,0.0,0.0,1.02705,84.5
010039,2.0,0.0,6.0,0.0,2.0,0.9486833333333333,86.375
010040,1.0,0.0,2.0,0.0,1.0,1.0389166666666667,82.625
010044,,0.0,0.0,0.0,0.0,0.9739,
010045,2.0,0.0,0.0,0.0,0.0,1.0033,92.625
010046,2.0,0.0,0.0,0.0,0.0,1.0668799999999998,86.875
010049,3.0,0.0,0.0,0.0,0.0,0.9474500000000001,86.875
010051,,0.0,0.0,0.0,0.0,,
010052,,0.0,0.0,0.0,0.0,1.0169,91.75
010055,2.0,1.0,0.0,0.0,0.0,1.0901833333333333,86.125
010056,3.0,0.0,0.0,0.0,0.0,1.056,83.375
010058,,0.0,0.0,0.0,0.0,0.936,
010059,,,,,,1.0061,
010061,3.0,0.0,0.0,0.0,0.0,0.9747666666666666,87.75
010062,,0.0,0.0,0.0,0.0,,
010065,3.0,0.0,0.0,0.0,0.0,0.9511200000000001,85.375
010073,,0.0,0.0,0.0,0.0,0.9776,
010078,1.0,0.0,0.0,0.0,1.0,1.08584,81.375
010079,3.0,0.0,0.0,0.0,1.0,1.032075,88.375
010083,4.0,0.0,0.0,0.0,0.0,1.0456599999999998,85.25
010085,3.0,0.0,0.0,0.0,1.0,0.96532,85.75
010086,4.0,0.0,0.0,0.0,0.0,0.9480333333333334,
010087,2.0,0.0,1.0,0.0,0.0,0.9916333333333335,85.375
010089,3.0,0.0,0.0,0.0,0.0,1.0047000000000001,80.625
010090,3.0,0.0,0.0,0.0,0.0,1.0155166666666666,83.0
010091,,0.0,0.0,0.0,0.0,,
010092,1.0,0.0,0.0,0.0,0.0,1.080475,85.0
010095,,0.0,0.0,0.0,0.0,,
010097,,0.0,0.0,0.0,0.0,1.0135,
010099,,0.0,0.0,0.0,0.0,0.99805,83.75
010100,3.0,0.0,1.0,0.0,2.0,1.0030333333333332,86.5
010101,,0.0,0.0,0.0,0.0,1.0499,90.25
010103,3.0,1.0,0.0,0.0,0.0,0.9833000000000002,83.125
010104,2.0,0.0,0.0,0.0,1.0,1.01545,85.125
010108,3.0,0.0,0.0,0.0,0.0,1.0055333333333334,86.75
010110,,,,,,,
010112,,0.0,1.0,0.0,0.0,0.98825,84.25
010113,2.0,0.0,1.0,0.0,0.0,1.0132166666666667,83.875
010114,2.0,0.0,0.0,0.0,0.0,0.9633333333333334,84.125
010118,2.0,0.0,0.0,0.0,0.0,1.0057666666666667,80.75
010120,,0.0,0.0,0.0,0.0,1.02725,
010125,4.0,0.0,0.0,0.0,0.0,0.9860000000000001,
010126,,0.0,0.0,0.0,0.0,1.0155,88.375
010128,,0.0,0.0,0.0,0.0,0.9666,
010129,,0.0,0.0,0.0,0.0,1.008,91.25
010130,3.0,0.0,0.0,0.0,0.0,1.0214666666666667,86.75
010131,2.0,0.0,1.0,0.0,0.0,1.0425,82.5
010138,,0.0,0.0,0.0,0.0,,
010139,2.0,0.0,0.0,0.0,0.0,0.9576600000000001,81.125
010144,2.0,0.0,0.0,0.0,0.0,1.01155,84.25
010148,2.0,0.0,0.0,0.0,0.0,0.9927666666666667,90.125
010149,4.0,0.0,0.0,0.0,0.0,1.037075,88.0
01014F,5.0,0.0,0.0,1.0,0.0,,87.5
010150,,0.0,0.0,0.0,0.0,,
010157,,0.0,0.0,0.0,0.0,,
010158,2.0,0.0,0.0,0.0,0.0,1.0995333333333333,
010164,3.0,0.0,0.0,0.0,0.0,1.0439666666666667,86.5
010168,,0.0,0.0,0.0,0.0,1.0187,90.5
010169,,0.0,0.0,0.0,0.0,1.038,
010173,,0.0,0.0,0.0,0.0,0.9608,
01019F,5.0,0.0,0.0,0.0,0.0,,83.75
01021F,,,,,,,
010779,,,,,,,
010780,,,,,,,
010781,,,,,,,
011300,,,,,,,
011302,,0.0,0.0,0.0,0.0,,
011304,,,,,,,
011305,,0.0,0.0,0.0,0.0,,
011306,,0.0,0.0,0.0,0.0,,
011307,,,,,,,
011308,,,,,,,
011309,,,,,,,
013300,,,,,,,
013301,,,,,,,
014000,,,,,,,
014006,,,,,,,
014007,,,,,,,
014012,,,,,,,
014014,,,,,,,
014015,,,,,,,
014016,,,,,,,
014017,,,,,,,
014018,,,,,,,
020001,3.0,0.0,3.0,0.0,0.0,0.9266166666666668,86.875
020006,3.0,0.0,1.0,0.0,2.0,0.97334,87.875
020008,5.0,0.0,0.0,0.0,0.0,1.0006666666666668,90.0
020012,3.0,0.0,0.0,0.0,2.0,0.97238,85.25
020017,2.0,0.0,0.0,0.0,0.0,1.0864333333333331,85.75
020018,,0.0,0.0,0.0,0.0,0.9464999999999999,84.75
020024,1.0,0.0,0.0,0.0,0.0,1.024675,87.375
020026,3.0,0.0,3.0,0.0,0.0,0.94712,84.75
02013F,,,,,,,88.75
02014F,,,,,,,
021301,,,,,,,
021302,,,,,,,
021304,,0.0,0.0,0.0,0.0,,
021305,,,,,,,
021306,,0.0,0.0,0.0,0.0,,
021307,,,,,,,
021308,,0.0,0.0,0.0,0.0,,
021309,,0.0,0.0,0.0,0.0,,
021310,,,,,,,
021311,,0.0,0.0,0.0,0.0,,88.125
021312,,0.0,0.0,0.0,0.0,,
021313,,0.0,0.0,0.0,0.0,,92.875
021314,3.0,0.0,0.0,0.0,0.0,,
024001,,,,,,,
024002,,,,,,,
030002,3.0,0.0,3.0,0.0,0.0,0.96546,84.625
030006,2.0,0.0,3.0,0.0,1.0,1.0797333333333332,81.875
030007,3.0,0.0,0.0,0.0,0.0,0.9275,84.875
030010,3.0,0.0,0.0,0.0,0.0,1.00766,79.0
030011,2.0,0.0,0.0,0.0,1.0,0.9933400000000001,77.375
030012,2.0,0.0,3.0,0.0,2.0,0.9820000000000002,83.5
030013,2.0,0.0,1.0,0.0,0.0,0.9808166666666667,84.25
030014,3.0,0.0,1.0,0.0,0.0,0.98962,84.5
030016,2.0,0.0,0.0,0.0,0.0,1.0380500000000001,82.875
030022,3.0,0.0,0.0,0.0,0.0,1.0407000000000002,83.75
030023,4.0,0.0,0.0,0.0,0.0,0.9830666666666666,84.375
030024,3.0,0.0,4.0,0.0,0.0,1.00838,86.375
030030,2.0,0.0,0.0,0.0,0.0,0.9951,77.625
030036,4.0,0.0,1.0,0.0,0.0,0.9792400000000001,85.25
030037,,0.0,0.0,0.0,0.0,,77.0
030038,3.0,0.0,0.0,0.0,0.0,0.9904999999999999,84.5
030043,2.0,0.0,0.0,0.0,0.0,1.01906,83.875
030055,4.0,0.0,0.0,1.0,0.0,0.975725,84.375
030061,3.0,0.0,3.0,0.0,1.0,1.0170000000000001,81.625
030062,4.0,0.0,1.0,0.0,0.0,0.98932,84.5
030064,3.0,0.0,1.0,0.0,0.0,0.9542400000000001,82.875
030065,2.0,0.0,0.0,0.0,1.0,1.03292,80.125
030069,3.0,0.0,0.0,0.0,0.0,0.9865500000000001,80.875
030071,,0.0,0.0,0.0,0.0,1.0409000000000002,86.125
030073,,0.0,0.0,0.0,0.0,0.945,85.25
030074,,0.0,0.0,0.0,0.0,,
030078,,0.0,0.0,0.0,0.0,,89.625
030083,2.0,0.0,0.0,0.0,0.0,0.952725,79.875
030084,,0.0,0.0,0.0,0.0,1.044,
030085,2.0,0.0,0.0,0.0,0.0,0.9751833333333333,77.625
030087,3.0,0.0,0.0,0.0,0.0,1.0641333333333334,85.0
030088,2.0,0.0,0.0,0.0,1.0,0.9636,82.0
030089,3.0,0.0,1.0,0.0,0.0,0.98308,80.5
030092,2.0,0.0,0.0,0.0,0.0,1.0729,85.0
030093,3.0,0.0,0.0,0.0,0.0,0.9878,82.125
030094,2.0,0.0,0.0,0.0,0.0,1.0007333333333335,80.5
030101,2.0,0.0,0.0,0.0,0.0,0.9796400000000001,79.375
030103,5.0,3.0,0.0,3.0,0.0,1.0025333333333333,92.0
030105,3.0,0.0,0.0,0.0,0.0,0.9912500000000001,84.625
030107,,0.0,0.0,0.0,0.0,0.7975,90.25
030108,,0.0,0.0,0.0,0.0,1.0051,89.0
030110,2.0,0.0,0.0,0.0,1.0,0.994675,76.375
030111,3.0,0.0,0.0,0.0,0.0,0.998975,82.125
030112,,0.0,0.0,0.0,0.0,1.2591,89.625
030113,,0.0,0.0,0.0,0.0,0.969,85.125
030114,3.0,0.0,0.0,0.0,0.0,0.94206,82.625
030115,3.0,0.0,1.0,1.0,0.0,1.00396,85.125
030117,2.0,0.0,0.0,0.0,0.0,0.9814666666666666,85.125
030119,5.0,0.0,1.0,1.0,0.0,1.01916,86.5
030121,2.0,0.0,0.0,0.0,0.0,0.98752,80.0
030122,4.0,0.0,0.0,0.0,0.0,0.9964666666666666,86.0
030123,4.0,0.0,0.0,1.0,0.0,1.03938,88.0
03012F,5.0,0.0,0.0,2.0,0.0,,84.625
030130,3.0,0.0,0.0,0.0,0.0,1.0162,86.0
030134,,0.0,0.0,0.0,0.0,0.99475,87.25
030136,,0.0,0.0,0.0,0.0,0.9795,
030138,5.0,0.0,0.0,0.0,0.0,,91.375
030139,3.0,0.0,0.0,0.0,0.0,0.9813000000000001,88.0
03013F,4.0,0.0,2.0,2.0,0.0,,87.0
030146,4.0,0.0,0.0,0.0,0.0,1.05745,88.375
030147,2.0,0.0,0.0,0.0,0.0,1.0914,85.75
030148,3.0,0.0,0.0,0.0,0.0,1.0223,83.125
030152,,0.0,0.0,0.0,0.0,,
030153,,0.0,0.0,0.0,0.0,,
030154,,0.0,0.0,0.0,0.0,0.99,
030155,,,,,,,
03033F,5.0,0.0,0.0,0.0,0.0,,88.25
031300,,0.0,0.0,0.0,0.0,,
031301,,,,,,,
031302,,,,,,,
031304,,,,,,,
031305,,,,,,,
031307,,,,,,,
031308,,,,,,,
031309,,0.0,0.0,0.0,0.0,,
031311,,0.0,0.0,0.0,0.0,,
031312,,0.0,0.0,0.0,0.0,,
031313,,,,,,,
031314,3.0,0.0,0.0,0.0,0.0,,86.125
031315,,0.0,0.0,0.0,0.0,,90.5
031317,,0.0,0.0,0.0,0.0,,84.375
031318,4.0,0.0,0.0,0.0,0.0,,87.625
031319,,0.0,0.0,0.0,0.0,,89.5
031320,,0.0,0.0,0.0,0.0,,
033302,,,,,,,
034004,,,,,,,
034013,,,,,,,
034020,,,,,,,
034021,,,,,,,
034022,,,,,,,
034023,,,,,,,
034024,,,,,,,
034025,,,,,,,
034026,,,,,,,
034027,,,,,,,
034028,,,,,,,
034029,,,,,,,
034030,,,,,,,
034031,,,,,,,
034032,,,,,,,
034033,,,,,,,
034034,,,,,,,
034035,,,,,,,
034038,,,,,,,
034040,,,,,,,
034041,,,,,,,
040001,3.0,0.0,0.0,0.0,0.0,1.0082499999999999,88.125
040002,3.0,0.0,0.0,0.0,0.0,1.0164666666666669,87.625
040004,4.0,1.0,0.0,0.0,0.0,0.9080166666666667,86.375
040007,3.0,0.0,1.0,0.0,0.0,0.95914,84.25
040010,4.0,0.0,0.0,0.0,0.0,0.98896,87.625
040011,3.0,0.0,0.0,0.0,0.0,0.9939666666666666,85.0
040014,3.0,0.0,0.0,0.0,0.0,1.01718,85.375
040016,2.0,0.0,0.0,0.0,0.0,0.997425,86.75
040017,3.0,0.0,0.0,0.0,2.0,0.9938,85.875
040018,,,,,,,
040019,,0.0,0.0,0.0,0.0,1.0071,87.875
040020,1.0,0.0,2.0,0.0,3.0,1.0770399999999998,86.25
040022,2.0,0.0,0.0,0.0,0.0,0.946,85.5
040026,3.0,0.0,0.0,0.0,2.0,1.0262166666666668,85.25
040027,1.0,0.0,0.0,0.0,2.0,1.0998333333333332,86.875
040029,3.0,0.0,1.0,0.0,1.0,1.0052999999999999,86.125
040036,1.0,0.0,0.0,0.0,3.0,1.0494333333333334,80.75
040039,2.0,0.0,0.0,0.0,0.0,0.979475,85.375
040041,3.0,0.0,0.0,0.0,0.0,0.9490000000000001,83.75
040050,1.0,0.0,0.0,0.0,0.0,1.0248,
040051,2.0,0.0,0.0,0.0,0.0,1.0428333333333333,86.125
040055,2.0,0.0,2.0,0.0,0.0,1.0314599999999998,84.75
040062,3.0,0.0,0.0,0.0,0.0,0.9695166666666667,85.375
040067,2.0,0.0,0.0,0.0,0.0,0.97915,
040069,1.0,0.0,0.0,0.0,0.0,1.01665,
040071,2.0,0.0,0.0,0.0,1.0,0.9715,84.125
