facility_id,comp_score_psi_90,avg_ratio,facility_name,state,hospital_type
010001,0.95,0.9783833333333333,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals
010005,0.97,0.9180999999999999,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals
010006,1.14,1.0002166666666668,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals
010007,1.06,1.0399,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals
010008,,1.0017,CRENSHAW COMMUNITY HOSPITAL,AL,Acute Care Hospitals
010011,1.03,1.02746,ST. VINCENT'S EAST,AL,Acute Care Hospitals
010012,1.02,1.0173400000000001,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
010016,1.45,1.0396999999999998,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals
010019,0.93,1.040325,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals
010021,1.16,1.002,DALE MEDICAL CENTER,AL,Acute Care Hospitals
010022,,0.9738,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals
010023,1.98,1.0332666666666668,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals
010024,0.95,0.9888999999999999,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals
010029,0.99,0.9726333333333333,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals
010033,1.16,1.15155,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals
010035,1.09,0.9941399999999998,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
010036,0.93,1.02705,ANDALUSIA HEALTH,AL,Acute Care Hospitals
010039,1.73,0.9486833333333333,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals
010040,1.58,1.0389166666666667,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
010044,,0.9739,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
010045,,1.0033,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals
010046,0.85,1.0668799999999998,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
010049,0.87,0.9474500000000001,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals
010052,,1.0169,LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals
010055,0.6,1.0901833333333333,FLOWERS HOSPITAL,AL,Acute Care Hospitals
010056,0.74,1.056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals
010058,,0.936,BIBB MEDICAL CENTER,AL,Acute Care Hospitals
010061,1.0,0.9747666666666666,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals
010065,0.99,0.9511200000000001,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals
010073,1.19,0.9776,CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals
010078,0.91,1.08584,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
010079,0.87,1.032075,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals
010083,0.82,1.0456599999999998,BALDWIN HEALTH,AL,Acute Care Hospitals
010085,1.19,0.96532,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals
010086,0.96,0.9480333333333334,NORTHWEST MEDICAL CENTER,AL,Acute Care Hospitals
010087,1.33,0.9916333333333335,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals
010089,0.92,1.0047000000000001,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals
010090,1.09,1.0155166666666666,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Acute Care Hospitals
010092,0.94,1.080475,DCH REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
010097,,1.0135,ELMORE COMMUNITY HOSPITAL,AL,Acute Care Hospitals
010099,1.04,0.99805,D W MCMILLAN MEMORIAL HOSPITAL,AL,Acute Care Hospitals
010100,1.1,1.0030333333333332,THOMAS HOSPITAL,AL,Acute Care Hospitals
010101,0.96,1.0499,CITIZENS BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals
010103,1.23,0.9833000000000002,PRINCETON BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals
010104,0.86,1.01545,GRANDVIEW MEDICAL CENTER,AL,Acute Care Hospitals
010108,0.94,1.0055333333333334,PRATTVILLE BAPTIST HOSPITAL,AL,Acute Care Hospitals
