facility_id,comp_score_psi_90,avg_ratio,facility_name,state,hospital_type
040020,3.16,1.0770399999999998,ST BERNARDS MEDICAL CENTER,AR,Acute Care Hospitals
080007,3.07,1.0210833333333333,BEEBE MEDICAL CENTER,DE,Acute Care Hospitals
250058,2.19,1.0851199999999999,SOUTH CENTRAL REG MED CTR,MS,Acute Care Hospitals
330094,2.17,1.0064,COLUMBIA MEMORIAL HOSPITAL,NY,Acute Care Hospitals
100212,2.12,1.0749,MARION COMMUNTIY HOSPITAL,FL,Acute Care Hospitals
330250,2.02,1.0048,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,NY,Acute Care Hospitals
440048,2.01,1.0986833333333335,BAPTIST MEMORIAL HOSPITAL,TN,Acute Care Hospitals
010023,1.98,1.0332666666666668,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals
230104,1.93,1.004,HARPER UNIVERSITY HOSPITAL,MI,Acute Care Hospitals
510022,1.92,1.0395,CHARLESTON AREA MEDICAL CENTER,WV,Acute Care Hospitals
110011,1.92,1.038775,TANNER MEDICAL CENTER - CARROLLTON,GA,Acute Care Hospitals
520037,1.79,1.0231166666666667,MARSHFIELD MEDICAL CENTER,WI,Acute Care Hospitals
330125,1.75,1.0618666666666667,ROCHESTER GENERAL HOSPITAL,NY,Acute Care Hospitals
180044,1.74,1.0601,PIKEVILLE MEDICAL CENTER,KY,Acute Care Hospitals
470001,1.74,1.0394999999999999,CENTRAL VERMONT MEDICAL CENTER,VT,Acute Care Hospitals
330078,1.71,1.0353,SISTERS OF CHARITY HOSPITAL,NY,Acute Care Hospitals
220077,1.69,1.1065666666666667,BAYSTATE MEDICAL CENTER,MA,Acute Care Hospitals
510029,1.68,1.08136,THOMAS MEMORIAL HOSPITAL,WV,Acute Care Hospitals
140166,1.67,1.0576249999999998,ST MARYS HOSPITAL,IL,Acute Care Hospitals
310031,1.64,1.0375999999999999,DEBORAH HEART AND LUNG CENTER,NJ,Acute Care Hospitals
230130,1.64,1.0087166666666667,BEAUMONT HOSPITAL ROYAL OAK,MI,Acute Care Hospitals
090003,1.62,1.0580749999999999,HOWARD UNIVERSITY HOSPITAL CORP,DC,Acute Care Hospitals
220015,1.59,1.044575,"COOLEY DICKINSON HOSPITAL INC,THE",MA,Acute Care Hospitals
360072,1.58,1.1378333333333333,FAIRFIELD MEDICAL CENTER,OH,Acute Care Hospitals
010040,1.58,1.0389166666666667,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals
450015,1.58,1.02975,PARKLAND HEALTH & HOSPITAL SYSTEM,TX,Acute Care Hospitals
110064,1.58,1.0128750000000002,PIEDMONT COLUMBUS REGIONAL MIDTOWN,GA,Acute Care Hospitals
390180,1.57,1.00475,CROZER CHESTER MEDICAL CENTER,PA,Acute Care Hospitals
190183,1.56,1.01345,LEONARD J CHABERT MEDICAL CENTER,LA,Acute Care Hospitals
100157,1.55,1.0404,LAKELAND REGIONAL MEDICAL CENTER,FL,Acute Care Hospitals
100179,1.55,1.01225,HCA FLORIDA MEMORIAL HOSPITAL,FL,Acute Care Hospitals
360048,1.54,1.0211000000000001,UNIVERSITY OF TOLEDO MEDICAL CENTER,OH,Acute Care Hospitals
330233,1.51,1.01225,BROOKDALE HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals
330011,1.5,1.02628,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",NY,Acute Care Hospitals
230024,1.5,1.02615,SINAI-GRACE HOSPITAL,MI,Acute Care Hospitals
330044,1.5,1.013675,WYNN HOSPITAL,NY,Acute Care Hospitals
050167,1.49,1.0165666666666666,SAN JOAQUIN GENERAL HOSPITAL,CA,Acute Care Hospitals
420004,1.48,1.0655833333333333,MUSC MEDICAL CENTER,SC,Acute Care Hospitals
330014,1.48,1.05795,JAMAICA HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals
110006,1.47,1.12386,ST MARY'S HOSPITAL,GA,Acute Care Hospitals
310011,1.47,1.02365,CAPE REGIONAL MEDICAL CENTER INC,NJ,Acute Care Hospitals
250141,1.47,1.0191,BAPTIST MEMORIAL HOSPITAL DESOTO,MS,Acute Care Hospitals
390174,1.46,1.1137666666666668,THOMAS JEFFERSON UNIVERSITY HOSPITAL,PA,Acute Care Hospitals
100128,1.46,1.0523166666666668,TAMPA GENERAL HOSPITAL,FL,Acute Care Hospitals
110076,1.45,1.06246,EMORY DECATUR HOSPITAL,GA,Acute Care Hospitals
010016,1.45,1.0396999999999998,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals
330005,1.44,1.0028,KALEIDA HEALTH,NY,Acute Care Hospitals
160033,1.43,1.0648833333333334,GENESIS MEDICAL CENTER-DAVENPORT,IA,Acute Care Hospitals
050017,1.43,1.05135,MERCY GENERAL HOSPITAL,CA,Acute Care Hospitals
310040,1.43,1.0087333333333335,CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,NJ,Acute Care Hospitals
