facility_id,infection_score_hai_1_cilower,infection_score_hai_1_ciupper,infection_score_hai_1_dopc,infection_score_hai_1_eligcases,infection_score_hai_1_numerator,infection_score_hai_1_sir,infection_score_hai_2_cilower,infection_score_hai_2_ciupper,infection_score_hai_2_dopc,infection_score_hai_2_eligcases,infection_score_hai_2_numerator,infection_score_hai_2_sir,infection_score_hai_3_cilower,infection_score_hai_3_ciupper,infection_score_hai_3_dopc,infection_score_hai_3_eligcases,infection_score_hai_3_numerator,infection_score_hai_3_sir,infection_score_hai_4_cilower,infection_score_hai_4_ciupper,infection_score_hai_4_dopc,infection_score_hai_4_eligcases,infection_score_hai_4_numerator,infection_score_hai_4_sir,infection_score_hai_5_cilower,infection_score_hai_5_ciupper,infection_score_hai_5_dopc,infection_score_hai_5_eligcases,infection_score_hai_5_numerator,infection_score_hai_5_sir,infection_score_hai_6_cilower,infection_score_hai_6_ciupper,infection_score_hai_6_dopc,infection_score_hai_6_eligcases,infection_score_hai_6_numerator,infection_score_hai_6_sir,infection_flag_hai_1_cilower,infection_flag_hai_1_ciupper,infection_flag_hai_1_dopc,infection_flag_hai_1_eligcases,infection_flag_hai_1_numerator,infection_flag_hai_1_sir,infection_flag_hai_2_cilower,infection_flag_hai_2_ciupper,infection_flag_hai_2_dopc,infection_flag_hai_2_eligcases,infection_flag_hai_2_numerator,infection_flag_hai_2_sir,infection_flag_hai_3_cilower,infection_flag_hai_3_ciupper,infection_flag_hai_3_dopc,infection_flag_hai_3_eligcases,infection_flag_hai_3_numerator,infection_flag_hai_3_sir,infection_flag_hai_4_cilower,infection_flag_hai_4_ciupper,infection_flag_hai_4_dopc,infection_flag_hai_4_eligcases,infection_flag_hai_4_numerator,infection_flag_hai_4_sir,infection_flag_hai_5_cilower,infection_flag_hai_5_ciupper,infection_flag_hai_5_dopc,infection_flag_hai_5_eligcases,infection_flag_hai_5_numerator,infection_flag_hai_5_sir,infection_flag_hai_6_cilower,infection_flag_hai_6_ciupper,infection_flag_hai_6_dopc,infection_flag_hai_6_eligcases,infection_flag_hai_6_numerator,infection_flag_hai_6_sir
010001,0.133,1.008,9078.0,9.568,4.0,0.418,0.032,0.341,16727.0,23.917,3.0,0.125,0.049,0.964,237.0,6.858,2.0,0.292,,,99.0,0.936,1.0,,0.124,0.94,111718.0,10.267,4.0,0.39,0.268,0.563,111718.0,70.895,28.0,0.395,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,,,,,,,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
010005,0.454,3.45,4592.0,2.797,4.0,1.43,0.268,2.87,6224.0,2.845,3.0,1.054,0.135,2.655,95.0,2.489,2.0,0.804,,,51.0,0.531,0.0,,0.618,6.616,36822.0,1.234,3.0,2.431,0.137,1.038,35164.0,9.297,4.0,0.43,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark
010006,,0.697,3887.0,4.301,0.0,0.0,0.005,0.518,7376.0,9.518,1.0,0.105,,1.22,90.0,2.455,0.0,0.0,,1.293,240.0,2.316,0.0,0.0,0.01,0.988,69320.0,4.993,1.0,0.2,0.033,0.247,66354.0,39.104,4.0,0.102,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
010007,,,252.0,0.156,0.0,,,,1430.0,0.782,2.0,,,,1.0,0.026,0.0,,,,,,,,,,3894.0,0.087,0.0,,0.039,3.808,3894.0,1.295,1.0,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark
010008,,,30.0,0.017,0.0,,,,326.0,0.177,0.0,,,,,,,,,,,,,,,,1403.0,0.047,0.0,,,,1403.0,0.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011,0.737,3.014,4679.0,5.041,8.0,1.587,0.008,0.762,5025.0,6.474,1.0,0.154,,1.588,68.0,1.886,0.0,0.0,,,1.0,0.009,0.0,,0.216,2.311,38111.0,3.533,3.0,0.849,0.098,0.592,38111.0,18.718,5.0,0.267,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
010012,,,626.0,0.436,0.0,,0.482,5.161,2317.0,1.582,3.0,1.896,,,20.0,0.515,0.0,,,,42.0,0.386,1.0,,,,8484.0,0.291,0.0,,,0.927,8484.0,3.233,0.0,0.0,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,,,,,,,,,,,,,,,,,,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
010016,0.52,3.143,4952.0,3.526,5.0,1.418,0.122,1.306,8497.0,6.25,3.0,0.48,,1.099,99.0,2.727,0.0,0.0,,,,,,,0.138,2.724,36111.0,2.426,2.0,0.824,0.166,0.85,36111.0,14.681,6.0,0.409,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
010018,,,,,,,,,,,,,,,,,,,,,,,,,,,415.0,0.011,0.0,,,,415.0,0.077,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010019,,2.348,1613.0,1.276,0.0,0.0,0.013,1.305,4669.0,3.779,1.0,0.265,0.584,6.252,51.0,1.306,3.0,2.297,,,84.0,0.767,2.0,,,2.48,27556.0,1.208,0.0,0.0,0.395,1.485,25557.0,11.125,9.0,0.809,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark
010021,,,345.0,0.211,1.0,,,,755.0,0.388,0.0,,,,3.0,0.076,0.0,,,,,,,,,,4793.0,0.151,1.0,,0.021,2.082,4793.0,2.369,1.0,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark
010022,,,7.0,0.006,0.0,,,,142.0,0.101,0.0,,,,,,,,,,,,,,,,5701.0,0.157,0.0,,,2.449,5701.0,1.223,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark
010023,0.563,1.427,16933.0,19.544,18.0,0.921,0.459,1.027,18193.0,34.243,24.0,0.701,0.559,2.529,167.0,5.475,7.0,1.279,,,73.0,0.765,2.0,,0.791,2.371,99263.0,9.14,13.0,1.422,0.316,0.748,93785.0,42.199,21.0,0.498,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,,,,,,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
010024,0.986,3.459,4852.0,5.153,10.0,1.941,0.618,1.778,10401.0,12.898,14.0,1.085,0.096,1.896,124.0,3.486,2.0,0.574,,,45.0,0.421,0.0,,1.549,5.436,58750.0,3.279,10.0,3.05,0.789,1.448,56682.0,38.84,42.0,1.081,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,,,,,,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark
010029,0.097,1.035,7605.0,7.886,3.0,0.38,0.039,0.768,6918.0,8.606,2.0,0.232,1.031,3.619,184.0,4.926,10.0,2.03,0.396,4.241,230.0,1.925,3.0,1.558,0.336,1.722,90052.0,7.245,6.0,0.828,0.478,0.905,83250.0,57.026,38.0,0.666,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,Worse than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
010033,0.494,0.921,48355.0,58.576,40.0,0.683,0.313,0.579,50798.0,95.139,41.0,0.431,0.492,1.065,1099.0,35.254,26.0,0.738,0.315,1.905,584.0,5.819,5.0,0.859,0.713,1.318,397830.0,41.805,41.0,0.981,0.373,0.527,351209.0,289.945,129.0,0.445,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark
