facility_id,comp_score_comp_hip_knee,comp_score_hybrid_hwm,comp_score_mort_30_ami,comp_score_mort_30_cabg,comp_score_mort_30_copd,comp_score_mort_30_hf,comp_score_mort_30_pn,comp_score_mort_30_stk,comp_score_psi_03,comp_score_psi_04,comp_score_psi_06,comp_score_psi_08,comp_score_psi_09,comp_score_psi_10,comp_score_psi_11,comp_score_psi_12,comp_score_psi_13,comp_score_psi_14,comp_score_psi_15,comp_score_psi_90,comp_flag_comp_hip_knee,comp_flag_hybrid_hwm,comp_flag_mort_30_ami,comp_flag_mort_30_cabg,comp_flag_mort_30_copd,comp_flag_mort_30_hf,comp_flag_mort_30_pn,comp_flag_mort_30_stk,comp_flag_psi_03,comp_flag_psi_04,comp_flag_psi_06,comp_flag_psi_08,comp_flag_psi_09,comp_flag_psi_10,comp_flag_psi_11,comp_flag_psi_12,comp_flag_psi_13,comp_flag_psi_14,comp_flag_psi_15,comp_flag_psi_90
010001,3.2,4.5,11.4,3.0,9.4,10.2,18.4,13.5,0.13,203.0,0.13,0.34,2.75,1.32,10.66,4.4,5.4,1.58,2.09,0.95,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Value
010005,3.0,4.6,,,8.9,14.1,21.2,12.9,0.33,184.79,0.19,0.25,2.04,1.44,8.65,4.89,6.38,1.73,1.23,0.97,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010006,4.7,5.2,14.5,5.4,8.7,12.5,19.6,12.4,0.55,236.12,0.26,0.25,3.59,1.44,16.59,2.92,4.62,1.96,1.34,1.14,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010007,,4.8,,,11.2,13.4,25.4,,0.54,,0.21,0.27,2.32,1.65,11.82,3.41,,,1.05,1.06,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010008,,4.3,,,,,15.0,,0.6,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,Number of Cases Too Small,,,,
010011,4.0,4.1,12.7,2.2,9.1,14.4,20.1,12.8,0.23,176.9,0.34,0.28,1.95,1.86,13.64,2.7,6.78,1.72,0.96,1.03,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010012,5.3,4.6,12.8,,9.5,15.9,19.8,,0.48,,0.2,0.26,2.28,1.66,11.34,3.25,6.04,1.74,1.03,1.02,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010016,4.8,4.3,14.1,2.2,9.4,10.6,16.9,16.0,1.01,142.26,0.3,0.24,1.87,2.47,13.24,3.68,10.68,1.99,1.13,1.45,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Value
010018,,,,,,,,,,,0.21,0.27,2.32,,,3.52,,,,0.99,,Number of Cases Too Small,,,,,,,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,,No Different Than the National Value
010019,4.5,5.6,,,8.6,18.5,18.7,13.3,0.31,,0.19,0.29,2.83,,,3.93,,2.02,0.94,0.93,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010021,,4.4,,,,,16.0,,0.56,,0.21,0.27,2.33,,16.47,3.47,,,1.04,1.16,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010022,,4.2,,,,,,,0.6,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010023,4.3,4.1,12.8,1.9,8.6,12.5,17.4,16.7,3.24,194.83,0.32,0.22,1.62,1.64,11.71,6.52,6.43,1.66,0.9,1.98,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Value
