facility_id,hcahps_pct_h_clean_hsp_a_p,hcahps_pct_h_clean_hsp_sn_p,hcahps_pct_h_clean_hsp_u_p,hcahps_pct_h_comp_1_a_p,hcahps_pct_h_comp_1_sn_p,hcahps_pct_h_comp_1_u_p,hcahps_pct_h_comp_2_a_p,hcahps_pct_h_comp_2_sn_p,hcahps_pct_h_comp_2_u_p,hcahps_pct_h_comp_5_a_p,hcahps_pct_h_comp_5_sn_p,hcahps_pct_h_comp_5_u_p,hcahps_pct_h_comp_6_n_p,hcahps_pct_h_comp_6_y_p,hcahps_pct_h_disch_help_n_p,hcahps_pct_h_disch_help_y_p,hcahps_pct_h_doctor_explain_a_p,hcahps_pct_h_doctor_explain_sn_p,hcahps_pct_h_doctor_explain_u_p,hcahps_pct_h_doctor_listen_a_p,hcahps_pct_h_doctor_listen_sn_p,hcahps_pct_h_doctor_listen_u_p,hcahps_pct_h_doctor_respect_a_p,hcahps_pct_h_doctor_respect_sn_p,hcahps_pct_h_doctor_respect_u_p,hcahps_pct_h_hsp_rating_0_6,hcahps_pct_h_hsp_rating_7_8,hcahps_pct_h_hsp_rating_9_10,hcahps_pct_h_med_for_a_p,hcahps_pct_h_med_for_sn_p,hcahps_pct_h_med_for_u_p,hcahps_pct_h_nurse_explain_a_p,hcahps_pct_h_nurse_explain_sn_p,hcahps_pct_h_nurse_explain_u_p,hcahps_pct_h_nurse_listen_a_p,hcahps_pct_h_nurse_listen_sn_p,hcahps_pct_h_nurse_listen_u_p,hcahps_pct_h_nurse_respect_a_p,hcahps_pct_h_nurse_respect_sn_p,hcahps_pct_h_nurse_respect_u_p,hcahps_pct_h_quiet_hsp_a_p,hcahps_pct_h_quiet_hsp_sn_p,hcahps_pct_h_quiet_hsp_u_p,hcahps_pct_h_recmnd_dn,hcahps_pct_h_recmnd_dy,hcahps_pct_h_recmnd_py,hcahps_pct_h_side_effects_a_p,hcahps_pct_h_side_effects_sn_p,hcahps_pct_h_side_effects_u_p,hcahps_pct_h_symptoms_n_p,hcahps_pct_h_symptoms_y_p,hcahps_linear_h_clean_linear_score,hcahps_linear_h_comp_1_linear_score,hcahps_linear_h_comp_2_linear_score,hcahps_linear_h_comp_5_linear_score,hcahps_linear_h_comp_6_linear_score,hcahps_linear_h_hsp_rating_linear_score,hcahps_linear_h_quiet_linear_score,hcahps_linear_h_recmnd_linear_score,hcahps_stars_h_clean_star_rating,hcahps_stars_h_comp_1_star_rating,hcahps_stars_h_comp_2_star_rating,hcahps_stars_h_comp_5_star_rating,hcahps_stars_h_comp_6_star_rating,hcahps_stars_h_hsp_rating_star_rating,hcahps_stars_h_quiet_star_rating,hcahps_stars_h_recmnd_star_rating,hcahps_stars_h_star_rating
010001,72.0,11.0,17.0,75.0,6.0,19.0,82.0,4.0,14.0,60.0,18.0,22.0,12.0,88.0,16.0,84.0,78.0,4.0,18.0,79.0,4.0,17.0,88.0,3.0,9.0,7.0,19.0,74.0,76.0,8.0,16.0,71.0,7.0,22.0,71.0,8.0,21.0,84.0,3.0,13.0,66.0,5.0,29.0,5.0,77.0,18.0,44.0,28.0,28.0,9.0,91.0,86.0,90.0,92.0,79.0,88.0,89.0,88.0,91.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0
010005,68.0,12.0,20.0,78.0,5.0,17.0,82.0,4.0,14.0,54.0,24.0,22.0,13.0,87.0,16.0,84.0,79.0,5.0,16.0,80.0,4.0,16.0,88.0,3.0,9.0,9.0,21.0,70.0,70.0,11.0,19.0,75.0,6.0,19.0,73.0,6.0,21.0,86.0,4.0,10.0,69.0,6.0,25.0,7.0,66.0,27.0,39.0,38.0,23.0,11.0,89.0,84.0,91.0,93.0,72.0,86.0,87.0,87.0,85.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0
010006,61.0,17.0,22.0,75.0,6.0,19.0,73.0,8.0,19.0,53.0,28.0,19.0,18.0,82.0,20.0,80.0,69.0,10.0,21.0,71.0,9.0,20.0,80.0,6.0,14.0,16.0,24.0,60.0,67.0,15.0,18.0,71.0,8.0,21.0,73.0,7.0,20.0,83.0,5.0,12.0,62.0,8.0,30.0,11.0,55.0,34.0,39.0,41.0,20.0,15.0,85.0,80.0,89.0,88.0,70.0,82.0,83.0,84.0,80.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0
010007,62.0,16.0,22.0,77.0,6.0,17.0,84.0,3.0,13.0,58.0,20.0,22.0,11.0,89.0,14.0,86.0,82.0,4.0,14.0,82.0,4.0,14.0,87.0,3.0,10.0,14.0,24.0,62.0,68.0,10.0,22.0,72.0,4.0,24.0,78.0,8.0,14.0,82.0,6.0,12.0,69.0,3.0,28.0,9.0,63.0,28.0,49.0,30.0,21.0,8.0,92.0,80.0,91.0,93.0,79.0,87.0,86.0,90.0,84.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0
010008,76.0,8.0,16.0,89.0,3.0,8.0,86.0,5.0,9.0,78.0,10.0,12.0,5.0,95.0,,,,,,,,,,,,4.0,23.0,73.0,,,,,,,,,,,,,76.0,6.0,18.0,2.0,68.0,30.0,,,,,,,,,,,,,,,,,,,,,,
010011,64.0,14.0,22.0,77.0,7.0,16.0,79.0,5.0,16.0,57.0,24.0,19.0,14.0,86.0,13.0,87.0,75.0,7.0,18.0,75.0,6.0,19.0,86.0,3.0,11.0,12.0,16.0,72.0,71.0,13.0,16.0,74.0,8.0,18.0,74.0,7.0,19.0,84.0,5.0,11.0,63.0,10.0,27.0,8.0,70.0,22.0,44.0,36.0,20.0,15.0,85.0,82.0,90.0,91.0,74.0,85.0,87.0,84.0,86.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0
010012,61.0,16.0,23.0,82.0,3.0,15.0,82.0,5.0,13.0,62.0,20.0,18.0,13.0,87.0,16.0,84.0,77.0,8.0,15.0,79.0,5.0,16.0,90.0,3.0,7.0,11.0,28.0,61.0,79.0,9.0,12.0,78.0,4.0,18.0,78.0,2.0,20.0,89.0,1.0,10.0,59.0,7.0,34.0,6.0,60.0,34.0,45.0,31.0,24.0,10.0,90.0,80.0,93.0,92.0,77.0,86.0,84.0,84.0,84.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0
010016,62.0,13.0,25.0,75.0,5.0,20.0,78.0,6.0,16.0,58.0,23.0,19.0,16.0,84.0,19.0,81.0,72.0,8.0,20.0,76.0,5.0,19.0,84.0,4.0,12.0,12.0,24.0,64.0,72.0,11.0,17.0,71.0,6.0,23.0,72.0,6.0,22.0,82.0,4.0,14.0,60.0,9.0,31.0,10.0,62.0,28.0,44.0,36.0,20.0,13.0,87.0,81.0,89.0,90.0,74.0,83.0,85.0,83.0,83.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
010018,75.0,8.0,17.0,83.0,2.0,15.0,82.0,2.0,16.0,83.0,8.0,9.0,18.0,82.0,,,,,,,,,,,,3.0,2.0,95.0,,,,,,,,,,,,,80.0,7.0,13.0,2.0,89.0,9.0,,,,,,,,,,,,,,,,,,,,,,
010019,73.0,8.0,19.0,83.0,4.0,13.0,79.0,6.0,15.0,65.0,17.0,18.0,13.0,87.0,15.0,85.0,75.0,7.0,18.0,78.0,7.0,15.0,84.0,6.0,10.0,6.0,18.0,76.0,78.0,8.0,14.0,80.0,5.0,15.0,80.0,4.0,16.0,88.0,2.0,10.0,70.0,6.0,24.0,3.0,79.0,18.0,52.0,26.0,22.0,10.0,90.0,88.0,93.0,90.0,79.0,86.0,90.0,87.0,91.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0
