facility_id,readm_ratio_readm_30_ami_hrrp,readm_ratio_readm_30_cabg_hrrp,readm_ratio_readm_30_copd_hrrp,readm_ratio_readm_30_hf_hrrp,readm_ratio_readm_30_hip_knee_hrrp,readm_ratio_readm_30_pn_hrrp,readm_predicted_readm_30_ami_hrrp,readm_predicted_readm_30_cabg_hrrp,readm_predicted_readm_30_copd_hrrp,readm_predicted_readm_30_hf_hrrp,readm_predicted_readm_30_hip_knee_hrrp,readm_predicted_readm_30_pn_hrrp,readm_expected_readm_30_ami_hrrp,readm_expected_readm_30_cabg_hrrp,readm_expected_readm_30_copd_hrrp,readm_expected_readm_30_hf_hrrp,readm_expected_readm_30_hip_knee_hrrp,readm_expected_readm_30_pn_hrrp,readm_count_readm_30_ami_hrrp,readm_count_readm_30_cabg_hrrp,readm_count_readm_30_copd_hrrp,readm_count_readm_30_hf_hrrp,readm_count_readm_30_hip_knee_hrrp,readm_count_readm_30_pn_hrrp
010001,0.937,0.9531,0.9823,1.0233,0.9875,0.9871,13.2998,10.396,16.6384,20.5695,4.5734,15.7529,14.1948,10.9078,16.9389,20.101,4.6311,15.9591,33.0,13.0,19.0,136.0,,79.0
010005,,,0.9308,1.0087,0.8602,0.8727,,,16.8541,20.9512,4.6113,13.3116,,,18.108,20.77,5.3609,15.2532,,,17.0,35.0,,30.0
010006,0.9195,1.0027,1.052,0.9925,1.0527,0.9819,11.6567,11.1697,19.1045,19.2066,6.083,15.6444,12.6772,11.1399,18.1604,19.3517,5.7783,15.9334,29.0,,37.0,88.0,,105.0
010007,,,1.0232,1.062,,1.0345,,,16.5931,19.6947,,16.336,,,16.2168,18.5446,,15.7913,,,,12.0,,16.0
010008,,,,,,1.0017,,,,,,13.4114,,,,,,13.3883,,,,,,
010011,0.9697,1.1213,0.9988,1.0373,,1.0102,11.4644,12.5649,19.4501,19.906,,16.1282,11.8232,11.2054,19.4725,19.1894,,15.9654,12.0,11.0,11.0,56.0,,46.0
010012,1.0565,,0.9934,1.084,0.9322,1.0206,11.4786,,13.8163,19.6001,4.0417,15.253,10.865,,13.9081,18.0817,4.3357,14.9444,,,,25.0,,23.0
010016,1.027,1.0875,0.9888,1.0053,1.1004,1.0292,14.8776,12.3307,17.7859,20.1019,6.2549,16.7023,14.4868,11.339,17.9874,19.9957,5.6843,16.2284,,,,43.0,,38.0
010019,,,1.0327,0.9057,1.2168,1.0061,,,17.547,17.2859,5.4095,13.8755,,,16.991,19.0851,4.4458,13.7919,,,32.0,37.0,,33.0
010021,,,,,,1.002,,,,,,13.9025,,,,,,13.8749,,,,,,
010022,,,,,,0.9738,,,,,,12.7596,,,,,,13.1025,,,,,,
010023,1.0084,1.0851,1.0436,1.0589,0.9546,1.049,14.2828,11.598,19.9666,22.0595,5.4372,18.3401,14.1632,10.688,19.1329,20.8335,5.6955,17.4837,27.0,,16.0,68.0,,33.0
010024,1.0203,0.9386,0.9583,1.0207,,1.0066,14.862,10.8206,16.1925,19.7846,,15.9827,14.5665,11.5286,16.8969,19.3825,,15.8774,22.0,,11.0,65.0,,42.0
010029,1.0521,0.9704,0.9239,1.0273,0.9746,0.8875,11.5674,9.9541,16.2846,18.6111,4.562,13.1459,10.9948,10.2577,17.6261,18.1163,4.6807,14.8118,13.0,,,49.0,18.0,20.0
010033,1.1901,1.2863,0.9689,0.9861,1.3796,1.0983,17.2513,15.142,19.1648,19.7513,10.358,17.1081,14.4954,11.7722,19.78,20.0293,7.5079,15.5775,60.0,61.0,30.0,125.0,,65.0
010035,1.0488,,1.0725,0.9659,0.8913,0.9922,12.9285,,17.5077,17.458,4.1609,14.1743,12.3267,,16.3246,18.0752,4.6683,14.2851,,,29.0,59.0,,62.0
010036,,,0.9647,1.0426,1.1547,0.9462,,,20.2024,21.7269,6.3173,14.2068,,,20.9412,20.8389,5.4708,15.0146,,,,32.0,,16.0
010039,0.8965,0.8637,0.9689,0.997,1.0436,0.9224,10.6508,8.6865,16.8266,19.8047,6.9377,14.0411,11.8801,10.0572,17.3667,19.8653,6.6479,15.2222,55.0,20.0,64.0,241.0,,182.0
010040,0.9772,1.1728,0.9967,0.9563,1.1146,1.0159,12.5369,14.2767,19.3825,21.0997,5.9928,16.9093,12.8299,12.1729,19.4465,22.0631,5.3767,16.6453,,11.0,17.0,45.0,,43.0
010044,,,,0.945,,1.0028,,,,17.0702,,14.443,,,,18.0636,,14.4034,,,,,,
010045,,,1.0117,1.0009,,0.9973,,,16.1652,16.5419,,14.3354,,,15.9787,16.5277,,14.3738,,,,,,
010046,1.0131,,1.0628,1.106,1.0344,1.1181,14.1243,,18.6955,23.0676,5.7642,17.8297,13.9419,,17.591,20.8569,5.5724,15.9464,,,23.0,71.0,,65.0
010049,,,1.0197,0.9516,0.8186,0.9999,,,16.5552,16.6277,3.6231,13.7023,,,16.2357,17.474,4.4262,13.7034,,,11.0,14.0,,20.0
010052,,,,,,1.0169,,,,,,15.3222,,,,,,15.0674,,,,,,
010055,1.083,1.1266,0.9429,0.966,1.3851,1.0375,12.511,12.1697,17.7033,18.472,6.2042,15.4196,11.5523,10.802,18.776,19.1221,4.4792,14.8628,37.0,16.0,17.0,57.0,15.0,49.0
010056,1.0865,1.0823,0.9927,0.9837,1.1136,1.0772,13.7718,11.8986,16.7254,18.9407,6.4814,16.2944,12.6757,10.994,16.8485,19.2551,5.82,15.1266,21.0,11.0,,67.0,,69.0
010058,,,,,,0.936,,,,,,13.3177,,,,,,14.2282,,,,,,
010059,,,,,,1.0061,,,,,,16.4814,,,,,,16.3816,,,,,,
010061,,,1.0124,0.9478,,0.9641,,,16.55,16.5381,,14.0105,,,16.3472,17.4489,,14.5315,,,,,,15.0
010065,1.0124,,1.0214,0.9711,0.8224,0.9283,13.5084,,15.0901,18.4406,5.0426,13.1245,13.3432,,14.7739,18.9892,6.1318,14.1384,,,,11.0,,
010073,,,,,,0.9776,,,,,,12.6753,,,,,,12.9662,,,,,,
010078,1.1594,,0.9637,0.9929,1.3369,0.9763,16.516,,18.1024,20.5581,6.4864,15.9471,14.2458,,18.7838,20.7047,4.8517,16.3335,39.0,,38.0,63.0,16.0,44.0
010079,,,1.0154,0.9706,1.0577,1.0846,,,17.2155,18.2694,5.2252,15.178,,,16.9544,18.822,4.9402,13.9945,,,19.0,22.0,,32.0
010083,0.974,,0.9522,1.0208,1.2704,1.0109,11.3856,,15.4148,19.4535,6.189,14.8978,11.6899,,16.1882,19.058,4.8716,14.7365,11.0,,13.0,54.0,,39.0
010085,0.9739,,0.9852,0.9357,0.9781,0.9537,14.9565,,15.3062,18.1688,6.39,14.5714,15.3571,,15.5361,19.4183,6.5333,15.2795,,,17.0,59.0,,62.0
010086,,,0.9161,1.0125,,0.9155,,,17.9576,19.7087,,13.6151,,,19.6032,19.4654,,14.8717,,,,,,
010087,0.9866,,,1.0179,,0.9704,13.6703,,,19.5004,,16.1261,13.8566,,,19.1582,,16.6179,,,,12.0,,
010089,,,1.0294,1.02,,0.9647,,,17.2788,19.0566,,15.1438,,,16.7853,18.6834,,15.6985,,,18.0,30.0,,22.0
010090,1.1374,1.0202,0.9477,0.9943,0.8727,1.1208,13.972,10.4751,15.5823,18.7619,4.4864,16.4961,12.2844,10.2678,16.4415,18.869,5.1409,14.7188,21.0,,,54.0,,44.0
010092,1.05,,1.1728,1.0331,,1.066,12.9555,,21.7994,19.315,,16.3941,12.3382,,18.5871,18.6969,,15.3797,21.0,,71.0,119.0,,100.0
010097,,,,,,1.0135,,,,,,14.2264,,,,,,14.0373,,,,,,
010099,,,,1.0201,,0.976,,,,18.9299,,12.8734,,,,18.5561,,13.1904,,,,,,
010100,0.9601,1.0243,1.0706,1.0637,0.8285,1.071,11.1955,11.191,19.6305,20.3273,4.517,15.4713,11.6605,10.9258,18.3367,19.1099,5.4521,14.4454,13.0,22.0,22.0,74.0,,61.0
010101,,,,0.9837,,1.1161,,,,19.9839,,18.9243,,,,20.3144,,16.9559,,,,,,17.0
010103,1.0841,1.0571,0.9661,0.8933,0.9279,0.9713,15.3506,10.7371,17.8746,17.7009,5.5057,16.9758,14.1595,10.1573,18.5022,19.8152,5.9334,17.4766,24.0,,,33.0,,16.0
010104,1.1078,1.1539,0.9375,1.0113,0.963,0.9192,15.1086,12.6147,16.5332,20.3192,4.4023,14.3502,13.6381,10.9322,17.6345,20.0927,4.5716,15.6124,34.0,19.0,19.0,127.0,13.0,55.0
010108,,,0.9761,1.0447,,0.9958,,,17.9704,19.887,,15.3223,,,18.4109,19.0366,,15.3876,,,16.0,31.0,,25.0
010112,,,,1.0366,,0.9399,,,,20.3663,,16.5116,,,,19.6465,,17.5669,,,,13.0,,
