facility_id,unplanned_score_edac_30_ami,unplanned_score_edac_30_hf,unplanned_score_edac_30_pn,unplanned_score_hybrid_hwr,unplanned_score_op_32,unplanned_score_op_35_adm,unplanned_score_op_35_ed,unplanned_score_op_36,unplanned_score_readm_30_ami,unplanned_score_readm_30_cabg,unplanned_score_readm_30_copd,unplanned_score_readm_30_hf,unplanned_score_readm_30_hip_knee,unplanned_score_readm_30_pn,unplanned_flag_edac_30_ami,unplanned_flag_edac_30_hf,unplanned_flag_edac_30_pn,unplanned_flag_hybrid_hwr,unplanned_flag_op_32,unplanned_flag_op_35_adm,unplanned_flag_op_35_ed,unplanned_flag_op_36,unplanned_flag_readm_30_ami,unplanned_flag_readm_30_cabg,unplanned_flag_readm_30_copd,unplanned_flag_readm_30_hf,unplanned_flag_readm_30_hip_knee,unplanned_flag_readm_30_pn
010001,-15.6,-1.1,17.4,15.1,12.7,10.0,5.1,1.1,13.0,10.1,18.0,20.1,4.8,16.0,fewer days than average per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010005,,12.2,-17.2,13.3,13.0,9.3,4.8,0.9,,,17.1,19.8,4.2,13.9,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010006,-18.0,-4.7,-0.9,15.9,11.1,,,1.2,12.5,10.6,19.1,19.5,5.1,15.7,fewer days than average per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010007,,77.9,29.8,15.4,12.5,,,,,,18.6,20.9,,16.5,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010008,,,-8.9,14.7,12.7,,,,,,,,,16.0,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
010011,-23.6,21.2,18.1,14.6,12.9,,,1.1,13.2,11.9,18.2,20.9,,16.2,fewer days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010012,41.1,40.0,2.3,15.1,14.0,,,1.0,14.3,,18.1,21.3,4.5,16.3,more days than average per 100 discharges,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010016,23.3,0.3,29.5,14.0,,,,1.1,13.9,11.5,18.0,19.9,5.3,16.4,average days per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,number of cases too small,,,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010018,,,,,,,,0.9,,,,,,,,,,number of cases too small,,number of cases too small,number of cases too small,no different than expected,,,,,,
010019,,-16.1,19.8,16.0,13.5,,,0.9,,,18.8,17.8,5.8,16.1,number of cases too small,fewer days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
